Имя Фамилия,EMAIL,КР,ИТОГ
Иван Иванов,ivanov@hse.ru,5,6
Петр Петров,petrov@hse.ru,8,10
Мария Кузнецова,kuznetsova@hse.ru,7,8
Татьяна Смирнова,smirnova@hse.ru,3,9
Камиль Ахметов,akhmetov@hse.ru,8,6
Софья Сонина,sonina@hse.ru,10,10
Андрей Андреев,andreev@hse.ru,2,4
Алина Хисматуллина,khismatullina@hse.ru,3,3
Семен Семенов,semenov@hse.ru,5,8
Макар Макаров,makarov@hse.ru,9,6
Василиса Васильева,vasilieva@hse.ru,5,7
Корней Корнеев,korneev@hse.ru,4,1
Тимофей Тимофеев,timofeev@hse.ru,8,9
Екатерина Катина,katina@hse.ru,5,4
Елена Ленина,lenina@hse.ru,6,6
